id,match_number,group_name,home_team_id,home_team,home_team_code,away_team_id,away_team,away_team_code,stadium_id,stadium,stadium_city,stadium_country,date,time_utc
23,60,D,15,Paraguay,PAR,14,Australia,AUS,4,Levi's Stadium,"Santa Clara, CA",USA,2026-06-26,02:00:00
50,62,I,34,Senegal,SEN,36,Iraq,IRQ,13,BMO Field,"Toronto, ON",Canada,2026-06-26,19:00:00
54,61,I,35,Norway,NOR,33,France,FRA,9,Gillette Stadium,"Foxborough, MA",USA,2026-06-26,19:00:00
48,65,H,32,Cabo Verde,CPV,29,Saudi Arabia,KSA,10,NRG Stadium,"Houston, TX",USA,2026-06-27,00:00:00
46,66,H,31,Uruguay,URU,30,Spain,ESP,16,Estadio Akron,Guadalajara,Mexico,2026-06-27,00:00:00
39,63,G,26,Egypt,EGY,27,IR Iran,IRN,6,Lumen Field,"Seattle, WA",USA,2026-06-27,03:00:00
42,64,G,28,New Zealand,NZL,25,Belgium,BEL,12,BC Place,"Vancouver, BC",Canada,2026-06-27,03:00:00
69,67,L,46,Panama,PAN,47,England,ENG,1,MetLife Stadium,"East Rutherford, NJ",USA,2026-06-27,21:00:00
72,68,L,48,Croatia,CRO,45,Ghana,GHA,7,Lincoln Financial Field,"Philadelphia, PA",USA,2026-06-27,21:00:00
65,72,K,44,Congo DR,COD,42,Uzbekistan,UZB,17,Mercedes-Benz Stadium,"Atlanta, GA",USA,2026-06-27,23:30:00
66,71,K,43,Colombia,COL,41,Portugal,POR,5,Hard Rock Stadium,"Miami Gardens, FL",USA,2026-06-27,23:30:00
57,69,J,38,Algeria,ALG,39,Austria,AUT,8,Arrowhead Stadium,"Kansas City, MO",USA,2026-06-28,02:00:00
60,70,J,40,Jordan,JOR,37,Argentina,ARG,2,AT&T Stadium,"Arlington, TX",USA,2026-06-28,02:00:00
