id_partido,home_team,away_team,match_number,group_name,is_decisive,day_of_week_num,is_weekend,ELO_match_rating,ELO_diff,home_value,away_value,match_value,match_value_diff,match_hora_utc
22,USA,Australia,32,D,0,4,0,3504,62,356.7,51.425,408.125,305.275,19
23,Paraguay,Australia,60,D,1,4,0,3616,50,139.0,51.425,190.425,87.575,2
24,Turkey,USA,59,D,1,4,0,3623,181,529.2,356.7,885.9000000000001,172.50000000000006,2
25,Ecuador,Curaçao,34,E,0,6,1,3369,497,259.05,27.775,286.825,231.275,0
26,Germany,Curaçao,10,E,0,6,1,3359,487,1005.5,27.775,1033.275,977.725,17
27,Ecuador,Germany,56,E,1,3,0,3856,10,259.05,1005.5,1264.55,746.45,20
28,Côte d'Ivoire,Ecuador,9,E,0,6,1,3609,257,516.9,259.05,775.95,257.84999999999997,23
29,Germany,Côte d'Ivoire,33,E,0,5,1,3599,247,1005.5,516.9,1522.4,488.6,20
30,Curaçao,Côte d'Ivoire,55,E,1,3,0,3112,240,27.775,516.9,544.675,489.125,20
31,Netherlands,Sweden,35,F,0,5,1,3680,242,763.0,435.375,1198.375,327.625,17
32,Japan,Sweden,57,F,1,3,0,3623,185,266.55,435.375,701.925,168.825,23
33,Sweden,Tunisia,12,F,0,0,0,3355,83,435.375,69.25,504.625,366.125,2
34,Netherlands,Japan,11,F,0,6,1,3865,57,763.0,266.55,1029.55,496.45,20
35,Tunisia,Japan,36,F,0,6,1,3540,268,69.25,266.55,335.8,197.3,4
36,Tunisia,Netherlands,58,F,1,3,0,3597,325,69.25,763.0,832.25,693.75,23
37,IR Iran,New Zealand,15,G,0,1,0,3345,175,35.5,32.8,68.3,2.700000000000003,1
38,Belgium,IR Iran,39,G,0,6,1,3627,107,558.2,35.5,593.7,522.7,19
39,Egypt,IR Iran,63,G,1,5,1,3449,71,135.425,35.5,170.925,99.92500000000001,3
40,Belgium,Egypt,16,G,0,0,0,3556,178,558.2,135.425,693.625,422.77500000000003,19
41,New Zealand,Egypt,40,G,0,0,0,3274,104,32.8,135.425,168.22500000000002,102.62500000000001,1
42,New Zealand,Belgium,64,G,1,5,1,3452,282,32.8,558.2,591.0,525.4000000000001,3
43,Spain,Cabo Verde,14,H,0,0,0,3714,616,1271.0,57.075,1328.075,1213.925,16
44,Uruguay,Cabo Verde,37,H,0,6,1,3441,343,361.1,57.075,418.175,304.02500000000003,22
45,Saudi Arabia,Uruguay,13,H,0,0,0,3460,324,27.625,361.1,388.725,333.475,22
46,Uruguay,Spain,66,H,1,5,1,4057,273,361.1,1271.0,1632.1,909.9,0
47,Spain,Saudi Arabia,38,H,0,6,1,3733,597,1271.0,27.625,1298.625,1243.375,16
48,Cabo Verde,Saudi Arabia,65,H,1,5,1,3117,19,57.075,27.625,84.7,29.450000000000003,0
49,France,Iraq,42,I,0,0,0,3688,474,1473.0,19.225,1492.225,1453.775,21
50,Senegal,Iraq,62,I,1,4,0,3485,271,464.3,19.225,483.52500000000003,445.075,19
51,Iraq,Norway,18,I,0,1,0,3519,305,19.225,586.5,605.725,567.275,22
52,France,Senegal,17,I,0,1,0,3959,203,1473.0,464.3,1937.3,1008.7,19
53,Norway,Senegal,41,I,0,1,0,3790,34,586.5,464.3,1050.8,122.19999999999999,0
54,Norway,France,61,I,1,4,0,3993,169,586.5,1473.0,2059.5,886.5,19
55,Austria,Jordan,20,J,0,2,0,3517,137,259.7,18.25,277.95,241.45,4
56,Argentina,Austria,43,J,0,0,0,3940,286,765.5,259.7,1025.2,505.8,17
57,Algeria,Austria,69,J,1,6,1,3570,84,227.8,259.7,487.5,31.899999999999977,2
58,Argentina,Algeria,19,J,0,2,0,3856,370,765.5,227.8,993.3,537.7,1
59,Jordan,Algeria,44,J,0,1,0,3433,53,18.25,227.8,246.05,209.55,3
60,Jordan,Argentina,70,J,1,6,1,3803,423,18.25,765.5,783.75,747.25,2
61,Portugal,Congo DR,23,K,0,2,0,3191,777,965.0,147.25,1112.25,817.75,17
62,Colombia,Congo DR,48,K,0,2,0,3182,768,303.95,147.25,451.2,156.7,2
63,Uzbekistan,Colombia,24,K,0,3,0,3702,248,78.725,303.95,382.67499999999995,225.225,2
64,Portugal,Uzbekistan,47,K,0,1,0,3711,257,965.0,78.725,1043.725,886.275,17
65,Congo DR,Uzbekistan,72,K,1,5,1,2934,520,147.25,78.725,225.975,68.525,23
66,Colombia,Portugal,71,K,1,5,1,3959,9,303.95,965.0,1268.95,661.05,23
67,Panama,Croatia,46,L,0,1,0,3667,193,32.85,356.3,389.15000000000003,323.45,23
68,England,Croatia,22,L,0,2,0,3950,90,1315.0,356.3,1671.3,958.7,20
69,Panama,England,67,L,1,5,1,3757,283,32.85,1315.0,1347.85,1282.15,21
70,Ghana,Panama,21,L,0,2,0,3242,232,295.175,32.85,328.02500000000003,262.325,23
71,England,Ghana,45,L,0,1,0,3525,515,1315.0,295.175,1610.175,1019.825,20
72,Croatia,Ghana,68,L,1,5,1,3435,425,356.3,295.175,651.475,61.125,21
