id,match_number,group_name,home_team_id,home_team,home_team_code,away_team_id,away_team,away_team_code,stadium_id,stadium,stadium_city,stadium_country,date,time_utc,home_elo_rating,away_elo_rating,match_rating
2,1,A,1,Mexico,MEX,3,South Africa,RSA,14,Estadio Azteca,Mexico City,Mexico,2026-06-11,19:00:00,1858,1524,3382
1,2,A,2,Korea Republic,KOR,4,Czechia,CZE,16,Estadio Akron,Guadalajara,Mexico,2026-06-12,02:00:00,1752,1726,3478
7,3,B,5,Canada,CAN,8,Bosnia-Herzegovina,BIH,13,BMO Field,"Toronto, ON",Canada,2026-06-12,19:00:00,1784,1594,3378
20,4,D,13,USA,USA,15,Paraguay,PAR,3,SoFi Stadium,"Inglewood, CA",USA,2026-06-13,01:00:00,1721,1833,3554
9,8,B,6,Qatar,QAT,7,Switzerland,SUI,4,Levi's Stadium,"Santa Clara, CA",USA,2026-06-13,19:00:00,1425,1889,3314
13,7,C,9,Brazil,BRA,12,Morocco,MAR,1,MetLife Stadium,"East Rutherford, NJ",USA,2026-06-13,22:00:00,1984,1821,3805
15,5,C,10,Haiti,HAI,11,Scotland,SCO,9,Gillette Stadium,"Foxborough, MA",USA,2026-06-14,01:00:00,1532,1767,3299
19,6,D,14,Australia,AUS,16,Turkey,TUR,12,BC Place,"Vancouver, BC",Canada,2026-06-14,04:00:00,1783,1902,3685
26,10,E,19,Germany,GER,20,Curaçao,CUW,10,NRG Stadium,"Houston, TX",USA,2026-06-14,17:00:00,1923,1436,3359
34,11,F,21,Netherlands,NED,22,Japan,JPN,2,AT&T Stadium,"Arlington, TX",USA,2026-06-14,20:00:00,1961,1904,3865
28,9,E,17,Côte d'Ivoire,CIV,18,Ecuador,ECU,7,Lincoln Financial Field,"Philadelphia, PA",USA,2026-06-14,23:00:00,1676,1933,3609
33,12,F,24,Sweden,SWE,23,Tunisia,TUN,15,Estadio BBVA,Monterrey,Mexico,2026-06-15,02:00:00,1719,1636,3355
43,14,H,30,Spain,ESP,32,Cabo Verde,CPV,17,Mercedes-Benz Stadium,"Atlanta, GA",USA,2026-06-15,16:00:00,2165,1549,3714
40,16,G,25,Belgium,BEL,26,Egypt,EGY,6,Lumen Field,"Seattle, WA",USA,2026-06-15,19:00:00,1867,1689,3556
45,13,H,29,Saudi Arabia,KSA,31,Uruguay,URU,5,Hard Rock Stadium,"Miami Gardens, FL",USA,2026-06-15,22:00:00,1568,1892,3460
37,15,G,27,IR Iran,IRN,28,New Zealand,NZL,3,SoFi Stadium,"Inglewood, CA",USA,2026-06-16,01:00:00,1760,1585,3345
52,17,I,33,France,FRA,34,Senegal,SEN,1,MetLife Stadium,"East Rutherford, NJ",USA,2026-06-16,19:00:00,2081,1878,3959
51,18,I,36,Iraq,IRQ,35,Norway,NOR,9,Gillette Stadium,"Foxborough, MA",USA,2026-06-16,22:00:00,1607,1912,3519
58,19,J,37,Argentina,ARG,38,Algeria,ALG,8,Arrowhead Stadium,"Kansas City, MO",USA,2026-06-17,01:00:00,2113,1743,3856
55,20,J,39,Austria,AUT,40,Jordan,JOR,4,Levi's Stadium,"Santa Clara, CA",USA,2026-06-17,04:00:00,1827,1690,3517
61,23,K,41,Portugal,POR,44,Congo DR,COD,10,NRG Stadium,"Houston, TX",USA,2026-06-17,17:00:00,1984,1207,3191
68,22,L,47,England,ENG,48,Croatia,CRO,2,AT&T Stadium,"Arlington, TX",USA,2026-06-17,20:00:00,2020,1930,3950
70,21,L,45,Ghana,GHA,46,Panama,PAN,13,BMO Field,"Toronto, ON",Canada,2026-06-17,23:00:00,1505,1737,3242
63,24,K,42,Uzbekistan,UZB,43,Colombia,COL,14,Estadio Azteca,Mexico City,Mexico,2026-06-18,02:00:00,1727,1975,3702
3,25,A,4,Czechia,CZE,3,South Africa,RSA,17,Mercedes-Benz Stadium,"Atlanta, GA",USA,2026-06-18,16:00:00,1726,1524,3250
8,26,B,7,Switzerland,SUI,8,Bosnia-Herzegovina,BIH,3,SoFi Stadium,"Inglewood, CA",USA,2026-06-18,19:00:00,1889,1594,3483
10,27,B,5,Canada,CAN,6,Qatar,QAT,12,BC Place,"Vancouver, BC",Canada,2026-06-18,22:00:00,1784,1425,3209
4,28,A,1,Mexico,MEX,2,Korea Republic,KOR,16,Estadio Akron,Guadalajara,Mexico,2026-06-19,01:00:00,1858,1752,3610
22,32,D,13,USA,USA,14,Australia,AUS,6,Lumen Field,"Seattle, WA",USA,2026-06-19,19:00:00,1721,1783,3504
14,30,C,11,Scotland,SCO,12,Morocco,MAR,9,Gillette Stadium,"Foxborough, MA",USA,2026-06-19,22:00:00,1767,1821,3588
16,29,C,9,Brazil,BRA,10,Haiti,HAI,7,Lincoln Financial Field,"Philadelphia, PA",USA,2026-06-20,01:00:00,1984,1532,3516
